Series_Title,Runtime_of_Series,Certificate,Runtime_of_Episodes,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4,No_of_Votes
Scott & Bailey,(2011–2016),NA,45 min,"Crime, Drama, Mystery",8,"Two female detectives, one motherly, the other emotionally immature, have varying levels of success applying their eccentric outlooks on life to their police cases and private lives.",Lesley Sharp,Tony Mooney,David Prosho,NA,6704
Plebs,(2013– ),NA,25 min,Comedy,7.9,"PLEBS follows three desperate young men from the suburbs as they try to get laid, hold down jobs, and climb the social ladder in the big city - a city that happens to be Ancient Rome.",Ryan Sampson,Tom Basden,Karl Theobald,NA,6702
JL50,(2020– ),16,42 min,"Drama, Sci-Fi, Thriller",7.5,"A plane is discovered to have recently crashed in West Bengal. However, what is so baffling about the incident is that plane originally went missing 35 years ago.",Abhay Deol,Pankaj Kapur,Ritika Anand,Piyush Mishra,6701
Crossbones,(2014),NA,60 min,"Action, Adventure, Drama",6.5,Set during the golden age of piracy in the 1700s and centers on legendary pirate Blackbeard.,Richard Coyle,Claire Foy,Yasmine Al Massri,NA,6696
Sunderland 'Til I Die,(2018– ),16+,39 min,"Documentary, Sport",8.1,"Highlights the unfailing passion Sunderland residents have for their beloved football club, taking viewers through the highs and lows of SAFC's 2017-18 season in the Championship following its relegation the previous year.",Nick Barnes,George Honeyman,Aiden McGeady,Gary Bennett,6694
The Being Frank Show,(2010– ),NA,NA,Talk-Show,6.7,"Variety show hosted by Frank D'Angelo with celebrity interviews, comedy bits and much more.",Frank D'Angelo,Glen Foster,Steven Joel Kerzner,Bai Ling,6671
Riviera,(2017– ),NA,60 min,"Drama, Thriller",6.7,A woman discovers her family's lifestyle has been funded by blood and seeks to protect herself and her loved ones.,Lena Olin,Dimitri Leonidas,Roxane Duran,NA,6665
Dads,(I) (2013–2014),NA,22 min,Comedy,5.5,Two successful guys in their 30's have their lives turned upside down when their nightmare dads unexpectedly move in with them.,Giovanni Ribisi,Brenda Song,Vanessa Lachey,NA,6662
Kuroshitsuji,(2008–2010),NA,24 min,"Animation, Action, Comedy",7.8,"A young boy sells his soul to a demon in order to avenge his family's death and successfully lead their influential toy manufacturing company. The demon takes the form of a loyal butler who's always dressed in black and is required to protect, serve and arrive whenever summoned by his young master Ciel.",J. Michael Tatum,Brina Palencia,Daisuke Ono,NA,6659
Dirt,(2007–2008),NA,60 min,Drama,6.9,A tabloid editor and her photographer try to make their way in the world of celebrity journalism.,Ian Hart,Josh Stewart,Alexandra Breckenridge,NA,6657
Bill Nye Saves the World,(2017–2018),NA,30 min,"Comedy, Talk-Show",3.6,Scientist Bill Nye explores various problems and misconceptions from a scientific point of view.,Karlie Kloss,Rachel Bloom,Zach Braff,NA,6654
"Luchshe, chem lyudi",(2018–2019),13+,52 min,"Drama, Sci-Fi",7.4,"A family on the brink of splitting up become the owners of a cutting-edge robot being sought by a corporation, homicide investigators and terrorists.",Paulina Andreeva,Kirill Käro,Aleksandr Ustyugov,Olga Lomonosova,6647
Kojak,(1973–1978),NA,60 min,"Action, Crime, Drama",7.1,"A bald, lollipop sucking police detective with a fiery righteous attitude battles crime in his city.",Dan Frazer,Kevin Dobson,George Savalas,NA,6641
Lost in Space,(1965–1968),NA,60 min,"Adventure, Comedy, Family",7.3,A space colony family struggles to survive when a spy/accidental stowaway throws their ship hopelessly off course.,June Lockhart,Mark Goddard,Marta Kristen,NA,6611
Beetlejuice,(1989–1991),NA,22 min,"Animation, Adventure, Comedy",7.3,"Adventures of the ghostly con-artist and his 12-year-old pal, Lydia.",Alyson Court,Tabitha St. Germain,Elizabeth Hanna,NA,6609
Avengers Assemble,(2013–2019),PG,23 min,"Animation, Action, Adventure",7,The further adventures of the Marvel Universe's mightiest general membership superhero team.,Roger Craig Smith,Troy Baker,Fred Tatasciore,Travis Willingham,6602
AJ and the Queen,(2020),NA,52 min,"Adventure, Comedy, Drama",7.5,"Ruby Red, a down-on-her-luck drag queen traveling across America, develops an unlikely sidekick named AJ.",Izzy G.,Michael-Leon Wooley,Josh Segarra,NA,6596
Jonathan Creek,(1997–2016),NA,120 min,"Comedy, Crime, Drama",8.1,"Working from his home in a converted windmill, Jonathan Creek is a magician with a natural ability for solving puzzles. He soon puts this ability to the use of solving impossible crimes and mysterious murders.",Caroline Quentin,Stuart Milligan,Julia Sawalha,NA,6590
Xiaolin Showdown,(2003–2006),NA,30 min,"Animation, Action, Adventure",7.5,A young Xiaolin monk named Omi with a giant yellow head leads a trio of other students to collect powerful items known as Shen Gong Wu while battling the evil Jack Spicer who is also after the artifacts,Danny Cooksey,Grey Griffin,Tom Kenny,NA,6575
Cory in the House,(2007–2008),NA,22 min,"Comedy, Family",5.1,"Cory Baxter moves to the White House in Washington, DC when his father Victor, is named the new personal White House chef of the President.",Jason Dolley,Maiara Walsh,Madison Pettis,NA,6570
Divorce,(2016–2019),NA,30 min,"Comedy, Drama",6.8,"A couple goes through a long, drawn-out divorce.",Thomas Haden Church,Molly Shannon,Talia Balsam,NA,6568
Tidelands,(2018),18,60 min,"Crime, Drama, Fantasy",7,"After an ex-con returns to her fishing village, a dead body leads her to uncover the secrets of the town and its half-siren, half-human residents.",Charlotte Best,Marco Pigossi,Aaron Jakubenko,Mattias Inwood,6560
Ed,(2000–2004),NA,60 min,"Comedy, Drama",7.5,"A separated, fired NYC lawyer returns to his hometown in Ohio, meets old high school friends and cute crush, buys a bowling alley and opens a law office in it.",Julie Bowen,Josh Randall,Jana Marie Hupp,NA,6555
The View,(1997– ),NA,60 min,Talk-Show,2.6,A panel of four women discuss news and politics.,Joy Behar,Virginia Hamilton,Sunny Hostin,NA,6553
Abhay,(2019– ),U,35 min,"Crime, Thriller",7.8,"Abhay Pratap Singh, the gutsy cop who can outwit any criminal, is back. Only this time, he is up against some sharper and hardened evil masterminds. Join him as he sets out on the road to justice with a darker and edgier.",Kunal Khemu,Ratnesh Mani,Sandeepa Dhar,Pratyaksh Panwar,6552
"Yes, Dear",(2000–2006),NA,30 min,Comedy,7,"Yes, Dear is a comedy about two young couples and their outrageously contrasting views on parenting.",Liza Snyder,Jean Louisa Kelly,Mike O'Malley,NA,6550
Duck Dodgers,(2003–2005),NA,30 min,"Animation, Short, Action",7.8,"Animated science fiction series based on the alter ego of Looney Tunes star Daffy Duck, the semi-heroic, yet incompetent, space Captain Duck Dodgers.",Bob Bergen,Richard McGonagle,Michael Dorn,NA,6548
The Royle Family,(1998–2012),NA,45 min,Comedy,8.1,A British sitcom about a family going through everyday life in the Royle family house.,Sue Johnston,Caroline Aherne,Craig Cash,NA,6544
Patriot Act with Hasan Minhaj,(2018–2020),18,25 min,"Comedy, News, Talk-Show",8.3,"In this weekly show, the former Daily Show correspondent Hasan Minhaj brings his unique comedic voice and storytelling skill to explore the larger grim trends shaping our fragmented world.",Hasan Minhaj,Joyelle Johnson,Arnab Goswami,Andrew Yang,6539
Smoke,(2018–2019),Not Rated,40 min,Thriller,8.5,"Set in Goa, Smoke explores the dark web of drugs, mafia, and power. With the cartels at war, who will survive?",Jim Sarbh,Kalki Koechlin,Mandira Bedi,Gulshan Devaiah,6538
Lark Rise to Candleford,(2008–2011),NA,53 min,"Drama, Romance",8.1,"An adaptation of Flora Thompson's autobiographical novel ""Lark Rise To Candleford"", set in 19 century Oxfordshire, in which a young girl moves to the local market town to begin an apprenticeship as a postmistress.",Sarah Lancashire,Julia Sawalha,Fergus Drysdale,NA,6538
Matlock,(1986–1995),NA,60 min,"Crime, Drama, Mystery",7,"Ben Matlock is a very expensive criminal defense attorney, who charges one hundred thousand dollars to take a case. Fortunately, he's worth every penny, as he and his associates defend his clients by finding the real killer.",Linda Purl,Kene Holiday,Nancy Stafford,NA,6533
How It's Made,(2001– ),NA,24 min,Documentary,7.8,Television series that documents how various everyday products are made.,Tony Hirst,Lynne Adams,Lynn Herzeg,NA,6514
Powerless,(2017),NA,21 min,"Comedy, Fantasy, Sci-Fi",6.4,"Follow the staff of an insurance company, specialising in products to protect defenseless bystanders from the collateral damage of Superheroes and Supervillains.",Danny Pudi,Christina Kirk,Ron Funches,NA,6510
Dynasty,(1981–1989),NA,60 min,"Drama, Romance",6.3,"The trials and tribulations of two feuding families, the Carringtons and the Colbys, both oil rich families in Denver, Colorado.",Linda Evans,Joan Collins,Gordon Thomson,NA,6501
"Love, Victor",(2020– ),NA,30 min,"Comedy, Drama, Romance",8.1,"Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation.",Rachel Hilson,Anthony Turpel,Bebe Wood,NA,6497
Toast of London,(2012– ),NA,30 min,Comedy,8.2,"Steven Toast, an eccentric middle aged actor with a chequered past, spends more time dealing with his problems off stage than performing on it",Robert Bathurst,Doon Mackichan,Shazad Latif,NA,6494
Superjail!,(2007–2014),NA,10 min,"Animation, Comedy, Crime",7.7,"In a surreal world, a large maximum security prison, which houses thousands of dangerous inmates is run by an eccentric warden and his equally odd staff.",Teddy Cohn,Christopher McCulloch,Christy Karacas,NA,6490
Origin,(2018),A,45 min,"Horror, Sci-Fi",7.1,A group of strangers struggle for survival aboard a spaceship heading to a distant planet.,Natalia Tena,Tom Felton,Sen Mitsuji,Nora Arnezeder,6489
Young Wallander,(2020– ),NA,16,"Crime, Drama, Mystery",6.8,Follow recently graduated police officer Kurt Wallander as he investigates his first case.,Yasen Atour,Leanne Best,Richard Dillane,NA,6487
Vratice se rode,(2007–2008),NA,55 min,"Comedy, Crime, Drama",8.9,"A story of two friends and petty thieves trying to make a living, but failing in every possible way.",Dragan Bjelogrlic,Srdjan 'Zika' Todorovic,Ljubomir Bandovic,NA,6486
Nash Bridges,(1996–2001),NA,60 min,"Action, Crime, Drama",6.8,"A smart alecky San Francisco, California cop and his get rich quick scheme of a partner keep tabs on crime and take down the bad guys in the Bay Area.",Cheech Marin,Jodi Lyn O'Keefe,Jeff Perry,NA,6480
The Flash,(1990–1991),NA,48 min,"Action, Crime, Fantasy",7.2,"A police forensic scientist, Barry Allen, battles crimes as the super-fast superhero ""The Flash"".",Amanda Pays,Alex Désert,Vito D'Ambrosio,NA,6471
Laverne & Shirley,(1976–1983),NA,30 min,"Comedy, Family",6.9,The misadventures of two single women in the 1950s and '60s.,Cindy Williams,David L. Lander,Eddie Mekka,NA,6471
Diagnosis Murder,(1993–2001),NA,45 min,"Crime, Drama, Mystery",6.8,"Dr. Mark Sloan has a knack for getting into trouble, negotiating the twists and turns of mysteries and solving crimes with the help of his son, Steve, a homicide detective.",Barry Van Dyke,Victoria Rowell,Charlie Schlatter,NA,6468
Unsolved,(2018– ),NA,60 min,"Biography, Crime",7.9,A scripted true crime series based on the murder investigations of Tupac Shakur and Biggie Smalls.,Bokeem Woodbine,Wavyy Jonez,Marcc Rose,NA,6467
Turn Up Charlie,(2019),18,30 min,Comedy,7.1,"Charlie, a struggling DJ and eternal bachelor is given a final chance at success when he reluctantly becomes a nanny to his famous best friend's problem-child daughter.",Idris Elba,Piper Perabo,Frankie Hervey,Shaheen Ramdiane,6461
Instinct,(2018–2019),NA,60 min,"Crime, Drama, Mystery",6.6,"A former CIA operative (Cumming), who has since built a ""normal"" life as a gifted professor and writer, is pulled back into his old life when the NYPD needs his help to stop a serial killer on the loose.",Bojana Novakovic,Daniel Ings,Michael B. Silver,NA,6460
God Friended Me,(2018–2020),All,43 min,"Comedy, Drama, Fantasy",6.9,An atheist's life is turned upside down when God adds him as a friend on Facebook.,Brandon Micheal Hall,Violett Beane,Suraj Sharma,Javicia Leslie,6458
Man v. Food,(2008– ),NA,30 min,Reality-TV,7.3,"Host Adam Richman (and subsequently Casey Webb) travels around the U.S., taking on a variety of local eating challenges involving meal size, spiciness and other daunting factors.",Casey Webb,Joey Chestnut,Gladys Knight,NA,6457
Emily Owens M.D.,(2012–2013),NA,43 min,"Comedy, Drama, Romance",7.5,A young doctor realizes that working as an intern in a big hospital is very much the same as being in high school.,Justin Hartley,Aja Naomi King,Michael Rady,NA,6444
Tokyo Ghoul: re,(2018),18,24 min,"Animation, Action, Drama",6.9,"Two years have passed since the CCG's raid on Anteiku. Although the atmosphere in Tokyo has changed drastically due to the increased influence of the CCG, ghouls continue to pose a problem ...                See full summary »",Natsuki Hanae,Austin Tindle,Adam Gibbs,Mikaela Krantz,6442
W - Du gaeui segye,(2016),16,60 min,"Drama, Fantasy, Romance",8.1,A love story between a couple in their early thirties. They belong to the same era but alternate realities.,Han Hyo-joo,Lee Jong-Suk,Jeong Eu-Gene,Eui-sung Kim,6441
DuckTales,(2017–2021),NA,21 min,"Animation, Action, Adventure",8.3,"The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck, his grandnephews - Huey, Dewey, and Louie - and temperamental nephew Donald Duck, Launchpad McQuack, Mrs. Beakley, and her granddaughter Webby.",Ben Schwartz,Danny Pudi,Bobby Moynihan,NA,6434
Primal,(2019– ),NA,22 min,"Animation, Action, Adventure",8.7,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,Tom Kenny,Jon Olson,Laëtitia Eïdo,NA,6433
A Touch of Frost,(1992–2010),NA,105 min,"Crime, Drama, Mystery",7.8,"DI Jack Frost is an unconventional policeman with sympathy for the underdog and an instinct for moral justice. Sloppy, disorganized and disrespectful, he attracts trouble like a magnet.",Bruce Alexander,John Lyons,Arthur White,NA,6430
The Fall Guy,(1981–1986),NA,60 min,"Action, Adventure, Comedy",7.1,The adventures of a film stuntman who moonlights as a bounty hunter when movie work is slow.,Douglas Barr,Heather Thomas,Markie Post,NA,6428
Karppi,(2018–2020),16,45 min,"Crime, Drama, Mystery",7.2,"When Sofia Karppi discovers the body of a young woman on a construction site, she triggers a chain of events that threatens to destroy her life again.",Pihla Viitala,Lauri Tilkanen,Mimosa Willamo,Noa Tola,6417
